"game_version","upgrade_a","name_a","upgrade_b","name_b","eligibility","blockers_including_prerequisites","a_first_dependency_order","b_first_dependency_order","base_stats_in_both_orders","scope"
"2.74.0","magnum","Heavy hitter","rewire","Rewire","allowed with prerequisites","","magnum > fold > rewire","fold > rewire > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","slingshot","Slingshot","allowed with prerequisites","","magnum > fold > slingshot","fold > slingshot > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","redline","Redline","allowed with prerequisites","","magnum > kick > redline","kick > redline > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","breach","Breach","allowed with prerequisites","","magnum > backblast > breach","backblast > breach > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","shatter","Shatter","allowed with prerequisites","","magnum > split > shatter","split > shatter > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","convergence","Convergence","allowed with prerequisites","","magnum > crossfire > convergence","crossfire > convergence > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","deadlock","Deadlock","allowed with prerequisites","","magnum > deadeye > deadlock","deadeye > deadlock > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","shockfront","Shockfront","allowed with prerequisites","","magnum > shellshock > aftershock > shockfront","shellshock > aftershock > shockfront > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","backfire","Backfire","allowed with prerequisites","","magnum > backblast > backfire","backblast > backfire > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","recall","Recall","allowed with prerequisites","","magnum > recall","recall > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","homecoming","Homecoming","allowed with prerequisites","","magnum > recall > homecoming","recall > homecoming > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","capacitor","Capacitor","allowed with prerequisites","","magnum > capacitor","capacitor > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","reserve-cell","Reserve cell","allowed with prerequisites","","magnum > capacitor > reserve-cell","capacitor > reserve-cell > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","countershot","Countershot","allowed with prerequisites","","magnum > countershot","countershot > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","reprisal","Reprisal","allowed with prerequisites","","magnum > countershot > reprisal","countershot > reprisal > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","rivet","Rivet","allowed with prerequisites","","magnum > deadeye > rivet","deadeye > rivet > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","fracture","Fracture","allowed with prerequisites","","magnum > deadeye > rivet > fracture","deadeye > rivet > fracture > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","fuse","Fuse","allowed with prerequisites","","magnum > shellshock > fuse","shellshock > fuse > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","linked-fuse","Linked fuse","allowed with prerequisites","","magnum > shellshock > fuse > linked-fuse","shellshock > fuse > linked-fuse > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","afterimage","Afterimage","allowed with prerequisites","","magnum > crossfire > afterimage","crossfire > afterimage > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","parallax","Parallax","allowed with prerequisites","","magnum > crossfire > afterimage > parallax","crossfire > afterimage > parallax > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","rail-spike","Rail spike","allowed with prerequisites","","magnum > deadeye > capacitor > rail-spike","deadeye > capacitor > rail-spike > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","tether","Tether rounds","allowed with prerequisites","","magnum > tether","tether > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","snapback","Snapback","allowed with prerequisites","","magnum > tether > snapback","tether > snapback > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","orbit","Orbit","allowed with prerequisites","","magnum > crossfire > recall > orbit","crossfire > recall > orbit > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","arc-coil","Arc Coil","allowed with prerequisites","","magnum > arc-coil","arc-coil > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","daisy-chain","Daisy Chain","allowed with prerequisites","","magnum > arc-coil > daisy-chain","arc-coil > daisy-chain > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","implosion","Implosion","allowed with prerequisites","","magnum > shellshock > fuse > implosion","shellshock > fuse > implosion > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","ramjet","Ramjet","allowed with prerequisites","","magnum > ramjet","ramjet > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","cinder","Cinder rounds","allowed with prerequisites","","magnum > cinder","cinder > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","crosswind","Crosswind","allowed with prerequisites","","magnum > crosswind","crosswind > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","wrecking-ball","Wrecking Ball","allowed with prerequisites","","magnum > ramjet > wrecking-ball","ramjet > wrecking-ball > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","flashpoint","Flashpoint","allowed with prerequisites","","magnum > cinder > flashpoint","cinder > flashpoint > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","slipstream","Slipstream","allowed with prerequisites","","magnum > crosswind > slipstream","crosswind > slipstream > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","grindshot","Grindshot","allowed with prerequisites","","magnum > grindshot","grindshot > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","corner-cutter","Corner Cutter","allowed with prerequisites","","magnum > grindshot > corner-cutter","grindshot > corner-cutter > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","tripwire","Tripwire","allowed with prerequisites","","magnum > tripwire","tripwire > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","tension","Tension","allowed with prerequisites","","magnum > tripwire > tension","tripwire > tension > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","cutting-torch","Cutting Torch","allowed with prerequisites","","magnum > cutting-torch","cutting-torch > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","thermal-runaway","Thermal Runaway","allowed with prerequisites","","magnum > cutting-torch > thermal-runaway","cutting-torch > thermal-runaway > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","vector","Vector rounds","allowed with prerequisites","","magnum > vector","vector > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","afterburner","Afterburner","allowed with prerequisites","","magnum > vector > afterburner","vector > afterburner > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","mass-driver","Mass Driver","allowed with prerequisites","","magnum > mass-driver","mass-driver > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","drop-forge","Drop Forge","allowed with prerequisites","","magnum > mass-driver > drop-forge","mass-driver > drop-forge > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","pulse-chamber","Pulse Chamber","allowed with prerequisites","","magnum > cutting-torch > burst > pulse-chamber","cutting-torch > burst > pulse-chamber > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","charge-lens","Charge Lens","allowed with prerequisites","","magnum > cutting-torch > charge-lens","cutting-torch > charge-lens > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","prism-array","Prism Array","allowed with prerequisites","","magnum > cutting-torch > prism-array","cutting-torch > prism-array > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","pinwheel","Pinwheel","allowed with prerequisites","","magnum > crossfire > pinwheel","crossfire > pinwheel > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","follow-through","Follow-through","allowed with prerequisites","","magnum > crossfire > afterimage > follow-through","crossfire > afterimage > follow-through > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","shaped-charge","Shaped Charge","allowed with prerequisites","","magnum > shellshock > shaped-charge","shellshock > shaped-charge > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","cluster-shell","Cluster Shell","allowed with prerequisites","","magnum > shellshock > cluster-shell","shellshock > cluster-shell > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","skid-plate","Skid Plate","allowed with prerequisites","","magnum > mass-driver > skid-plate","mass-driver > skid-plate > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","relay-gate","Relay Gate","allowed with prerequisites","","magnum > fold > relay-gate","fold > relay-gate > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","short-circuit","Short Circuit","allowed with prerequisites","","magnum > arc-coil > short-circuit","arc-coil > short-circuit > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","triphammer","Triphammer","allowed with prerequisites","","magnum > ramjet > triphammer","ramjet > triphammer > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","crosscut","Crosscut","allowed with prerequisites","","magnum > grindshot > crosscut","grindshot > crosscut > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","coolant-rounds","Coolant Rounds","allowed with prerequisites","","magnum > coolant-rounds","coolant-rounds > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","deep-freeze","Deep Freeze","allowed with prerequisites","","magnum > coolant-rounds > deep-freeze","coolant-rounds > deep-freeze > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","icebreaker","Icebreaker","allowed with prerequisites","","magnum > coolant-rounds > deep-freeze > icebreaker","coolant-rounds > deep-freeze > icebreaker > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","cold-snap","Cold Snap","allowed with prerequisites","","magnum > coolant-rounds > cold-snap","coolant-rounds > cold-snap > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","cold-front","Cold Front","allowed with prerequisites","","magnum > coolant-rounds > cold-snap > cold-front","coolant-rounds > cold-snap > cold-front > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","suspension","Suspension","allowed with prerequisites","","magnum > suspension","suspension > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","crosshatch","Crosshatch","allowed with prerequisites","","magnum > suspension > crosshatch","suspension > crosshatch > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","thread-the-needle","Thread the Needle","allowed with prerequisites","","magnum > suspension > crosshatch > thread-the-needle","suspension > crosshatch > thread-the-needle > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","tripline","Tripline","allowed with prerequisites","","magnum > suspension > tripline","suspension > tripline > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","chain-release","Chain Release","allowed with prerequisites","","magnum > suspension > tripline > chain-release","suspension > tripline > chain-release > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","retrace","Retrace","allowed with prerequisites","","magnum > recall > retrace","recall > retrace > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","wallrunner","Wallrunner","allowed with prerequisites","","magnum > light > wallrunner","light > wallrunner > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","air-brake","Air Brake","allowed with prerequisites","","magnum > kick > air-brake","kick > air-brake > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","resonator","Resonator","allowed with prerequisites","","magnum > cutting-torch > burst > pulse-chamber > fold > relay-gate > resonator","cutting-torch > burst > pulse-chamber > fold > relay-gate > resonator > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","flywheel","Flywheel","allowed with prerequisites","","magnum > mass-driver > skid-plate > grindshot > crosscut > flywheel","mass-driver > skid-plate > grindshot > crosscut > flywheel > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","magnum","Heavy hitter","storm-cell","Storm Cell","allowed with prerequisites","","magnum > shellshock > cluster-shell > arc-coil > storm-cell","shellshock > cluster-shell > arc-coil > storm-cell > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","rapid","Hair trigger","allowed with prerequisites","","scatter > rapid","rapid > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","ricochet","Bank shot","allowed with prerequisites","","scatter > ricochet","ricochet > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","pierce","Punch through","allowed with prerequisites","","scatter > pierce","pierce > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","split","Splinter","allowed with prerequisites","","scatter > split","split > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","airshot","Airshot","allowed with prerequisites","","scatter > airshot","airshot > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","kick","Kickback","allowed with prerequisites","","scatter > kick","kick > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","leech","Bloodwork","allowed with prerequisites","","scatter > leech","leech > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","light","Light frame","allowed with prerequisites","","scatter > light","light > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","burst","Burst fire","allowed with prerequisites","","scatter > burst","burst > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","backblast","Backblast","allowed with prerequisites","","scatter > backblast","backblast > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","banker","Banker","allowed with prerequisites","","scatter > banker","banker > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","landing","Landing shot","allowed with prerequisites","","scatter > landing","landing > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","crossfire","Crossfire","allowed with prerequisites","","scatter > crossfire","crossfire > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","bloom","Death bloom","allowed with prerequisites","","scatter > crossfire > bloom","crossfire > bloom > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","deadeye","Deadeye","allowed with prerequisites","","scatter > deadeye","deadeye > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","execute","Executioner","allowed with prerequisites","","scatter > deadeye > execute","deadeye > execute > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","fold","Fold","allowed with prerequisites","","scatter > fold","fold > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","shellshock","Shellshock","allowed with prerequisites","","scatter > shellshock","shellshock > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","blast-surf","Blast surfing","allowed with prerequisites","","scatter > shellshock > blast-surf","shellshock > blast-surf > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","aftershock","Aftershock","allowed with prerequisites","","scatter > shellshock > aftershock","shellshock > aftershock > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","chain-reaction","Chain reaction","allowed with prerequisites","","scatter > shellshock > chain-reaction","shellshock > chain-reaction > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","rewire","Rewire","allowed with prerequisites","","scatter > fold > rewire","fold > rewire > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","slingshot","Slingshot","allowed with prerequisites","","scatter > fold > slingshot","fold > slingshot > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","redline","Redline","allowed with prerequisites","","scatter > kick > redline","kick > redline > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","breach","Breach","allowed with prerequisites","","scatter > backblast > breach","backblast > breach > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","shatter","Shatter","allowed with prerequisites","","scatter > split > shatter","split > shatter > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","convergence","Convergence","allowed with prerequisites","","scatter > crossfire > convergence","crossfire > convergence > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","deadlock","Deadlock","allowed with prerequisites","","scatter > deadeye > deadlock","deadeye > deadlock > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","shockfront","Shockfront","allowed with prerequisites","","scatter > shellshock > aftershock > shockfront","shellshock > aftershock > shockfront > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","backfire","Backfire","allowed with prerequisites","","scatter > backblast > backfire","backblast > backfire > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","recall","Recall","allowed with prerequisites","","scatter > recall","recall > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","homecoming","Homecoming","allowed with prerequisites","","scatter > recall > homecoming","recall > homecoming > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","capacitor","Capacitor","allowed with prerequisites","","scatter > capacitor","capacitor > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","reserve-cell","Reserve cell","allowed with prerequisites","","scatter > capacitor > reserve-cell","capacitor > reserve-cell > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","countershot","Countershot","allowed with prerequisites","","scatter > countershot","countershot > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","reprisal","Reprisal","allowed with prerequisites","","scatter > countershot > reprisal","countershot > reprisal > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","rivet","Rivet","allowed with prerequisites","","scatter > deadeye > rivet","deadeye > rivet > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","fracture","Fracture","allowed with prerequisites","","scatter > deadeye > rivet > fracture","deadeye > rivet > fracture > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","fuse","Fuse","allowed with prerequisites","","scatter > shellshock > fuse","shellshock > fuse > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","linked-fuse","Linked fuse","allowed with prerequisites","","scatter > shellshock > fuse > linked-fuse","shellshock > fuse > linked-fuse > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","afterimage","Afterimage","allowed with prerequisites","","scatter > crossfire > afterimage","crossfire > afterimage > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","parallax","Parallax","allowed with prerequisites","","scatter > crossfire > afterimage > parallax","crossfire > afterimage > parallax > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","rail-spike","Rail spike","allowed with prerequisites","","scatter > deadeye > capacitor > rail-spike","deadeye > capacitor > rail-spike > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","tether","Tether rounds","allowed with prerequisites","","scatter > tether","tether > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","snapback","Snapback","allowed with prerequisites","","scatter > tether > snapback","tether > snapback > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"2.74.0","scatter","Scattershot","orbit","Orbit","allowed with prerequisites","","scatter > crossfire > recall > orbit","crossfire > recall > orbit > scatter","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
